Display Name,Distance (LY),Spectra,Radius,RA,Declination,Parallax,X,Y,Z,Real,Comment
16 Sgr,0.0,B0.5Ib/II,0.0,18.253603,-20.387974,0.0,0.0,0.0,0.0,true,
3C 273,0.0,,0.0,12.48519455,2.05238781,0.0,0.0,0.0,0.0,true,
Bet Phe,0.0,G8 III,0.0,1.10140903,-46.71845453,0.0,0.0,0.0,0.0,true,
GJ Gl 409,0.0,,0.0,11.03254187,-17.95646754,0.0,0.0,0.0,0.0,true,
Garnet Star,0.0,G5IB,0.0,21.72512804,58.78004333,0.0,0.0,0.0,0.0,true,
HD 100009,0.0,F0 V,0.0,11.50434864,-18.18299539,0.0,0.0,0.0,0.0,true,
HD 100135,0.0,B5/7 III,0.0,11.51429972,-60.31806956,0.0,0.0,0.0,0.0,true,
HD 100210,0.0,F0 V,0.0,11.52418999,-46.58257041,0.0,0.0,0.0,0.0,true,
HD 100247,0.0,F3/5 V,0.0,11.53244411,-18.76871858,0.0,0.0,0.0,0.0,true,
HD 100252,0.0,F3 V,0.0,11.52811552,-54.75471226,0.0,0.0,0.0,0.0,true,
HD 100279,0.0,A2/3MA5-A7,0.0,11.5295681,-62.08897077,0.0,0.0,0.0,0.0,true,
HD 100361,0.0,G5,0.0,11.55083415,9.62746376,0.0,0.0,0.0,0.0,true,
HD 100480,0.0,B9 V,0.0,11.5509593,-66.99010172,0.0,0.0,0.0,0.0,true,
HD 100515,0.0,K5/M0,0.0,11.5601822,-55.14452182,0.0,0.0,0.0,0.0,true,
HD 100530,0.0,B1/2 (III),0.0,11.55941855,-63.89593083,0.0,0.0,0.0,0.0,true,
HD 100869,0.0,,0.0,11.61147055,21.47037615,0.0,0.0,0.0,0.0,true,
HD 101114,0.0,A0mA5/7-F0,0.0,11.63451762,-11.51720804,0.0,0.0,0.0,0.0,true,
HD 101205,0.0,B7/8 IB,0.0,11.63899293,-63.37276303,0.0,0.0,0.0,0.0,true,
HD 101277,0.0,A8 V,0.0,11.63059186,-80.71525208,0.0,0.0,0.0,0.0,true,
HD 101286,0.0,F3 V,0.0,11.65349937,-31.04432949,0.0,0.0,0.0,0.0,true,
HD 101649,0.0,F3 V,0.0,11.69464742,-22.75811545,0.0,0.0,0.0,0.0,true,
HD 101655,0.0,A2/3 IV,0.0,11.69080567,-62.30744787,0.0,0.0,0.0,0.0,true,
HD 101702,0.0,,0.0,11.69506748,-60.23073799,0.0,0.0,0.0,0.0,true,
HD 101706,0.0,G2/3 V,0.0,11.70161376,-17.28456467,0.0,0.0,0.0,0.0,true,
HD 101942,0.0,A0 IV/V,0.0,11.72947752,-45.31206534,0.0,0.0,0.0,0.0,true,
HD 101975,0.0,K0 III,0.0,11.73270954,-45.24955631,0.0,0.0,0.0,0.0,true,
HD 102115,0.0,M3 III,0.0,11.74750921,-56.58816712,0.0,0.0,0.0,0.0,true,
HD 102164,0.0,G1 V,0.0,11.75698248,-11.46405326,0.0,0.0,0.0,0.0,true,
HD 102181,0.0,G8 (V),0.0,11.76001728,3.90043349,0.0,0.0,0.0,0.0,true,
HD 102631,0.0,B9 V,0.0,11.8116695,-57.50386626,0.0,0.0,0.0,0.0,true,
HD 102768,0.0,,0.0,11.82943742,-35.36550138,0.0,0.0,0.0,0.0,true,
HD 102813,0.0,A9 V,0.0,11.83497125,-34.94826021,0.0,0.0,0.0,0.0,true,
HD 102932,0.0,,0.0,11.84882414,-31.87453643,0.0,0.0,0.0,0.0,true,
HD 102983,0.0,A0 III/IV(P CR),0.0,11.852436,-53.43579051,0.0,0.0,0.0,0.0,true,
HD 103261,0.0,F8,0.0,11.90232739,81.93696221,0.0,0.0,0.0,0.0,true,
HD 103329,0.0,F3 V,0.0,11.89727927,-20.50473321,0.0,0.0,0.0,0.0,true,
HD 103526,0.0,F5 IV/V,0.0,11.92035011,-50.20253899,0.0,0.0,0.0,0.0,true,
HD 103558,0.0,A0 IV,0.0,11.92237649,-64.04560995,0.0,0.0,0.0,0.0,true,
HD 103648,0.0,G8 IV,0.0,11.93421976,-16.47142475,0.0,0.0,0.0,0.0,true,
HD 10369,0.0,F0 V,0.0,1.68064857,-20.36502114,0.0,0.0,0.0,0.0,true,
HD 103759,0.0,A8/9 V,0.0,11.94668672,-38.32894392,0.0,0.0,0.0,0.0,true,
HD 103910,0.0,A2 III,0.0,11.96395092,-43.72032177,0.0,0.0,0.0,0.0,true,
HD 104143,0.0,B9 V,0.0,11.99387689,-63.40203675,0.0,0.0,0.0,0.0,true,
HD 104211,0.0,F3 V,0.0,12.00134589,-46.04687412,0.0,0.0,0.0,0.0,true,
HD 104232,0.0,A1 V + F5/6 (V),0.0,12.00409269,-57.45889174,0.0,0.0,0.0,0.0,true,
HD 104387,0.0,B5/9,0.0,12.0198494,-62.61464817,0.0,0.0,0.0,0.0,true,
HD 104715,0.0,A1 IV/V,0.0,12.05805184,-34.60364225,0.0,0.0,0.0,0.0,true,
HD 104789,0.0,G6/8 V,0.0,12.06698486,-17.5701402,0.0,0.0,0.0,0.0,true,
HD 104895,0.0,K2/3 III + F/G,0.0,12.07867924,-50.56000224,0.0,0.0,0.0,0.0,true,
HD 104911,0.0,G8 V,0.0,12.07951856,-18.5585075,0.0,0.0,0.0,0.0,true,
