Andromeda,And,Andr,Andromedae,Alpheratz
Antlia,Ant,Antl,Antliae,α Antliae
Apus,Aps,Apus,Apodis,α Apodis
Aquarius,Aqr,Aqar,Aquarii,Sadalsuud
Aquila,Aql,Aqil,Aquilae,Altair
Ara,Ara,Arae,Arae,β Arae
Aries,Ari,Arie,Arietis,Hamal
Auriga,Aur,Auri,Aurigae,Capella
Boötes,Boo,Boot,Boötis,Arcturus
Caelum,Cae,Cael,Caeli,α Caeli
Camelopardalis,Cam,Caml,Camelopardalis,βCamelopardalis
Cancer,Cnc,Canc,Cancri,Tarf
Canes Venatici,CVn,CVen,Canum Venaticorum,Cor Caroli
Canis Major,CMa,CMaj,Canis Majoris,Sirius
Canis Minor,CMi,CMin,Canis Minoris,Procyon
Capricornus,Cap,Capr,Capricorni,Deneb Algedi
Carina,Car,Cari,Carinae,Canopus
Cassiopeia,Cas,Cass,Cassiopeiae,Schedar
Centaurus,Cen,Cent,Centauri,Rigil Kentaurus
Cepheus,Cep,Ceph,Cephei,Alderamin
Cetus,Cet,Ceti,Ceti,Diphda
Chamaeleon,Cha,Cham,Chamaeleontis,α Chamaeleontis
Circinus,Cir,Circ,Circini,α Circini
Columba,Col,Colm,Columbae,Phact
Coma Berenices,Com,Coma,Comae Berenices,β Comae Berenices
Corona Australis,CrA,CorA,Coronae Australis,Meridiana
Corona Borealis,CrB,CorB,Coronae Borealis,Alphecca
Corvus,Crv,Corv,Corvi,Gienah
Crater,Crt,Crat,Crateris,δ Crateris
Crux,Cru,Cruc,Crucis,Acrux
Cygnus,Cyg,Cygn,Cygni,Deneb
Delphinus,Del,Dlph,Delphini,Rotanev
Dorado,Dor,Dora,Doradus,α Doradus
Draco,Dra,Drac,Draconis,Eltanin
Equuleus,Equ,Equl,Equulei,Kitalpha
Eridanus,Eri,Erid,Eridani,Achernar
Fornax,For,Forn,Fornacis,Dalim
Gemini,Gem,Gemi,Geminorum,Pollux
Grus,Gru,Grus,Gruis,Alnair
Hercules,Her,Herc,Herculis,Kornephoros
Horologium,Hor,Horo,Horologii,α Horologii
Hydra,Hya,Hyda,Hydrae,Alphard
Hydrus,Hyi,Hydi,Hydri,β Hydri
Indus,Ind,Indi,Indi,α Indi
Lacerta,Lac,Lacr,Lacertae,α Lacertae
Leo,Leo,Leon,Leonis,Regulus
Leo Minor,LMi,LMin,Leonis Minoris,Praecipua
Lepus,Lep,Leps,Leporis,Arneb
Libra,Lib,Libr,Librae,Zubeneschamali
Lupus,Lup,Lupi,Lupi,α Lupi
Lynx,Lyn,Lync,Lyncis,α Lyncis
Lyra,Lyr,Lyra,Lyrae,Vega
Mensa,Men,Mens,Mensae,α Mensae
Microscopium,Mic,Micr,Microscopii,γ Microscopii
Monoceros,Mon,Mono,Monocerotis,β Monocerotis
Musca,Mus,Musc,Muscae,α Muscae
Norma,Nor,Norm,Normae,γ2Normae
Octans,Oct,Octn,Octantis,ν Octantis
Ophiuchus,Oph,Ophi,Ophiuchi,Rasalhague
Orion,Ori,Orio,Orionis,Rigel
Pavo,Pav,Pavo,Pavonis,Peacock
Pegasus,Peg,Pegs,Pegasi,Enif
Perseus,Per,Pers,Persei,Mirfak
Phoenix,Phe,Phoe,Phoenicis,Ankaa
Pictor,Pic,Pict,Pictoris,α Pictoris
Pisces,Psc,Pisc,Piscium,Alpherg
Piscis Austrinus,PsA,PscA,Piscis Austrini,Fomalhaut
Puppis,Pup,Pupp,Puppis,Naos
Pyxis,Pyx,Pyxi,Pyxidis,α Pyxidis
Reticulum,Ret,Reti,Reticuli,α Reticuli
Sagitta,Sge,Sgte,Sagittae,γ Sagittae
Sagittarius,Sgr,Sgtr,Sagittarii,Kaus Australis
Scorpius,Sco,Scor,Scorpii,Antares
Sculptor,Scl,Scul,Sculptoris,α Sculptoris
Scutum,Sct,Scut,Scuti,α Scuti
Serpens,Ser,Serp,Serpentis,Unukalhai
Sextans,Sex,Sext,Sextantis,α Sextantis
Taurus,Tau,Taur,Tauri,Aldebaran
Telescopium,Tel,Tele,Telescopii,α Telescopii
Triangulum,Tri,Tria,Trianguli,β Trianguli
Triangulum Australe,TrA,TrAu,Trianguli Australis,Atria
Tucana,Tuc,Tucn,Tucanae,α Tucanae
Ursa Major,UMa,UMaj,Ursae Majoris,Alioth
Ursa Minor,UMi,UMin,Ursae Minoris,Polaris
Vela,Vel,Velr,Velorum,γ2Velorum
Virgo,Vir,Virg,Virginis,Spica
Volans,Vol,Voln,Volantis,β Volantis
Vulpecula,Vul,Vulp,Vulpeculae,Anser
