S9Ia,10,1.03E+008,8.79E+004,1990,2.4,-6.9,-8.38,-15.28,255,157,0
S8Ia,10.1,2.70E+007,3.76E+004,2180,2.25,-6.9,-6.93,-13.83,255,157,0
S7Ia,10.2,9.18E+006,1.85E+004,2370,2.12,-6.9,-5.76,-12.66,255,164,26
S6Ia,10.3,4.17E+006,1.07E+004,2560,2,-7,-4.8,-11.8,255,171,52
S5Ia,10.5,2.02E+006,6.45E+003,2750,1.88,-7,-4.01,-11.01,255,178,78
S4Ia,11,1.10E+006,4.18E+003,2940,1.77,-7,-3.36,-10.36,255,185,104
S3Ia,11.6,7.33E+005,3.00E+003,3130,1.67,-7.1,-2.81,-9.91,255,192,118
S2Ia,12.1,4.81E+005,2.16E+003,3320,1.58,-7.1,-2.36,-9.46,255,193,104
S1Ia,12.7,3.37E+005,1.62E+003,3510,1.49,-7.1,-1.97,-9.07,255,202,138
S0Ia,13.3,2.74E+005,1.31E+003,3700,1.41,-7.2,-1.65,-8.85,255,204,143
S9Ia0,12,7.11E+008,2.31E+005,1990,2.4,-9,-8.38,-17.38,255,157,0
S8Ia0,12.1,2.05E+008,1.03E+005,2180,2.25,-9.1,-6.93,-16.03,255,157,0
S7Ia0,12.3,6.96E+007,5.10E+004,2370,2.12,-9.1,-5.76,-14.86,255,164,26
S6Ia0,12.4,2.88E+007,2.81E+004,2560,2,-9.1,-4.8,-13.9,255,171,52
S5Ia0,12.5,1.53E+007,1.78E+004,2750,1.88,-9.2,-4.01,-13.21,255,178,78
S4Ia0,13.2,8.38E+006,1.15E+004,2940,1.77,-9.2,-3.36,-12.56,255,185,104
S3Ia0,13.8,5.07E+006,7.89E+003,3130,1.67,-9.2,-2.81,-12.01,255,192,118
S2Ia0,14.5,3.65E+006,5.95E+003,3320,1.58,-9.3,-2.36,-11.66,255,193,104
S1Ia0,15.1,2.56E+006,4.46E+003,3510,1.49,-9.3,-1.97,-11.27,255,202,138
S0Ia0,15.8,1.90E+006,3.46E+003,3700,1.41,-9.3,-1.65,-10.95,255,204,143
S9Ib,8,1.79E+007,3.67E+004,1990,2.4,-5,-8.38,-13.38,255,157,0
S8Ib,8.1,5.15E+006,1.64E+004,2180,2.25,-5.1,-6.93,-12.03,255,157,0
S7Ib,8.2,2.10E+006,8.87E+003,2370,2.12,-5.3,-5.76,-11.06,255,164,26
S6Ib,8.3,9.55E+005,5.12E+003,2560,2,-5.4,-4.8,-10.2,255,171,52
S5Ib,8.4,5.07E+005,3.23E+003,2750,1.88,-5.5,-4.01,-9.51,255,178,78
S4Ib,8.9,2.77E+005,2.09E+003,2940,1.77,-5.5,-3.36,-8.86,255,185,104
S3Ib,9.3,1.68E+005,1.44E+003,3130,1.67,-5.5,-2.81,-8.31,255,192,118
S2Ib,9.8,1.10E+005,1.03E+003,3320,1.58,-5.5,-2.36,-7.86,255,193,104
S1Ib,10.2,7.73E+004,7.75E+002,3510,1.49,-5.5,-1.97,-7.47,255,202,138
S0Ib,10.7,5.73E+004,6.00E+002,3700,1.41,-5.5,-1.65,-7.15,255,204,143
S9II,6,2.83E+006,1.46E+004,1990,2.4,-3,-8.38,-11.38,255,190,91
S8II,6.1,7.44E+005,6.23E+003,2180,2.25,-3,-6.93,-9.93,255,192,96
S7II,6.2,2.53E+005,3.07E+003,2370,2.12,-3,-5.76,-8.76,255,193,100
S6II,6.3,9.55E+004,1.62E+003,2560,2,-2.9,-4.8,-7.7,255,195,105
S5II,6.4,4.62E+004,9.76E+002,2750,1.88,-2.9,-4.01,-6.91,255,197,110
S4II,6.7,2.31E+004,6.04E+002,2940,1.77,-2.8,-3.36,-6.16,255,199,114
S3II,7.1,1.40E+004,4.14E+002,3130,1.67,-2.8,-2.81,-5.61,255,201,119
S2II,7.4,8.36E+003,2.85E+002,3320,1.58,-2.7,-2.36,-5.06,255,203,124
S1II,7.8,5.86E+003,2.13E+002,3510,1.49,-2.7,-1.97,-4.67,255,205,128
S0II,8.2,3.96E+003,1.58E+002,3700,1.41,-2.6,-1.65,-4.25,255,207,133
S9III,4.1,1.79E+005,3.67E+003,1990,2.4,0,-8.38,-8.38,255,233,154
S8III,4.1,5.15E+004,1.64E+003,2180,2.25,-0.1,-6.93,-7.03,255,167,97
S7III,4.2,2.10E+004,8.87E+002,2370,2.12,-0.3,-5.76,-6.06,255,165,97
S6III,4.2,9.55E+003,5.12E+002,2560,2,-0.4,-4.8,-5.2,255,178,121
S5III,4.3,5.07E+003,3.23E+002,2750,1.88,-0.5,-4.01,-4.51,255,197,124
S4III,4.6,2.77E+003,2.09E+002,2940,1.77,-0.5,-3.36,-3.86,255,206,127
S3III,4.8,1.84E+003,1.50E+002,3130,1.67,-0.6,-2.81,-3.41,255,200,119
S2III,5.1,1.21E+003,1.08E+002,3320,1.58,-0.6,-2.36,-2.96,255,198,118
S1III,5.3,9.29E+002,8.50E+001,3510,1.49,-0.7,-1.97,-2.67,255,200,121
S0III,5.6,6.89E+002,6.58E+001,3700,1.41,-0.7,-1.65,-2.35,255,203,132
